authors,title,System,year,publisher,type,abstract
MJ Musiba,Some aspects of the life history of Diplostomum species (Digenea: Diplostomatidae) infecting Clarias species (Clariidae) of Lake Victoria,Freshwater,2004,University of Dar es Salaam,CITATION,NA
"CA Mwakosya, YD Mgaya, NS Jiddawi",Genetic connectivity of Fenneropenaeus indicus (H. Milne Edwards 1837) among three prawn fishing grounds of Tanzanian coastal waters,Marine,2018,Elsevier,NA,"The penaeid prawn fishery of Tanzanian coastal waters occurs within three main fishing grounds referred to as zone 1, 2 and 3. The three zones are connected to major estuaries of …"
"M Hakimu, C Mwakosya, S Mahongo",THE FISH SPECIES COMPOSITION AND VARIATION OF CATCH FROM THE ARTISANAL FISHERY IN THE PEMBA CHANNEL OF THE WESTERN INDIAN OCEAN,Marine,2011,core.ac.uk,NA,"In the Western Indian Ocean coastal zone, where highly diverse fish communities occur, it is important to study the artisanal fisheries exploiting these communities. Forty-three (43) …"
CA Mwakosya,"Abundance, distribution and reproductive biology of two selected penaeid prawns in Tanzanian waters",Marine,2016,University of Dar es Salaam,CITATION,NA
"M Nikaido, H Noguchi, H Nishihara, A Toyoda…",Coelacanth genomes reveal signatures for evolutionary transition from water to land,Marine,2013,genome.cshlp.org,NA,"Coelacanths are known as “living fossils,” as they show remarkable morphological resemblance to the fossil record and belong to the most primitive lineage of living …"
S Mzighani,"Fecundity and population structure of cockles, Anadara antiquata L. 1758 (Bivalvia: Arcidae) from a sandy/muddy beach near Dar es Salaam, Tanzania",Marine,2005,ajol.info,NA,"The fecundity and population structure of the cockle, Anadara antiquataL., from sandy/muddy intertidal habitats in the intertidal of Ocean Road beach was examined from …"
"R Miyagi, Y Terai, M Aibara, T Sugawara…",Correlation between nuptial colors and visual sensitivities tuned by opsins leads to species richness in sympatric Lake Victoria cichlid fishes,Freshwater,2012,academic.oup.com,NA,Reproductive isolation that prevents interspecific hybridization between closely related coexisting species maintains sympatric species diversity. One of the reproductive isolations …
"MJ Genner, E Connell, A Shechonge…",Nile tilapia invades the Lake Malawi catchment,Freshwater,2013,Taylor & Francis,NA,The Lake Malawi/Nyasa catchment contains over 835 endemic cichlid fish species. This unique biodiversity has made it widely recognised as one of the world's most significant …
"M Nikaido, T Ota, T Hirata, H Suzuki…",Multiple episodic evolution events in V1R receptor genes of East-African cichlids,Freshwater,2014,academic.oup.com,NA,"Fish use olfaction to detect a variety of nonvolatile chemical signals, and thus, this sense is key to survival and communication. However, the contribution of the olfactory sense to social …"
"MJ Genner, BP Ngatunga, S Mzighani…",Geographical ancestry of Lake Malawi's cichlid fish diversity,Freshwater,2015,royalsocietypublishing.org,NA,The Lake Malawi haplochromine cichlid flock is one of the largest vertebrate adaptive radiations. The geographical source of the radiation has been assumed to be rivers to the …
"M Takeda, J Kusumi, S Mizoiri, M Aibara, SI Mzighani…",Genetic structure of pelagic and littoral cichlid fishes from Lake Victoria,Freshwater,2013,journals.plos.org,HTML,"The approximately 700 species of cichlids found in Lake Victoria in East Africa are thought to have evolved over a short period of time, and they represent one of the largest known …"
"K Maeda, M Takeda, K Kamiya, M Aibara, SI Mzighani…","Population structure of two closely related pelagic cichlids in Lake Victoria, Haplochromis pyrrhocephalus and H. laparogramma",Freshwater,2009,Elsevier,NA,"Abstract Cichlid fishes in Lake Victoria show spectacular diversification that is thought to be recent. Therefore, by investigating those fishes, we may be able to elucidate recently …"
"APA Shoko, HD Matola, S Mzighani…","Fishpond performance of Nile tilapia Oreochromis niloticus (Linnaeus, 1758) in the Lake Victoria basin, Tanzania",Freshwater,2011,tafiri.go.tz,PDF,ABSTRACT A study was conducted in January through February 2004 to assess the fishpond performance in the districts of Muleba and Bukoba (Kagera region) and Tarime …
"MJ Genner, GF Turner, A Smith…",and Benjamin P. NGATUNGA5,,2015,core.ac.uk,PDF,Freshwater fish biogeography can provide insight into past connectivity of river systems. Here we report the first discovery of the large-bodied cyprinid Acapoeta tanganicae …
S Mzighani,"Fecundity and Population Structure of Cockles, Anadara antiquata L. 1758 (Bivalvia: Arcidae) from a Sandy/Muddy",Marine,NA,NA,PDF,"The fecundity and population structure of the cockle, Anadara antiquata L., from sandy/muddy intertidal habitats in the intertidal of Ocean Road beach was examined from …"
S Mzighani,"Report on Length, Weight and Sex Survey of Nile Perch (lates Niloticus) In Lake Victoria, Tanzania",Freshwater,2004,196.41.38.241,NA,"This report presents the length-weight relationship parameters (a and b) for 559 Lates niloticus, size composition, sex, maturity stages, length at first maturity and food examined …"
S Mzighani,Fecundity and population structure of cookles,Marine,NA,NA,CITATION,NA
S Mzighani,"Morphometrics relationship, meat yield and condition index of Cockles, Anadara antiquata (Linnaeus, 1758) from Ocean Road beach, Dar es Salaam",Marine,1999,NA,CITATION,NA
"Y Terai, R Miyagi, S Mizoiri…",Commonality of speciation by sensory drive revealed by its signatures in Lake Victoria cichlid fishes,Freshwater,2012,GENETICS SOC JAPAN NATIONAL …,CITATION,NA
SI Mzighani,Population genetic structure of Laparogramma group of cichlids from Lake Victoria: an analysis based on SINEs and mtDNA,Freshwater,2010,ci.nii.ac.jp,CITATION,CiNii 博士論文 - Population genetic structure of Laparogramma group of cichlids from Lake Victoria : an analysis based on SINEs and mtDNA CiNii 国立情報学研究所 学術情報ナビゲータ …
S Mzighani,"Report onlength, weight ans sex surveyof nile perch (Lates niloticus) in lake Victoria, Tanzania–February 2004",Freshwater,2012,NA,CITATION,NA
"E Ólafsson, S Carlström, SGM Ndaro",Meiobenthos of hypersaline tropical mangrove sediment in relation to spring tide inundation,Marine,2000,Springer,NA,"Tropical intertidal sediments often contain porewater of relatively high salinity, especially in areas exposed to longer periods without seawater inundation and high evaporation. Such …"
"OA Amir, P Berggren, SGM Ndaro…","Feeding ecology of the Indo-Pacific bottlenose dolphin (Tursiops aduncus) incidentally caught in the gillnet fisheries off Zanzibar, Tanzania",Marine,2005,Elsevier,NA,The stomach contents of 26 Indo-Pacific bottlenose dolphins (Tursiops aduncus) incidentally caught in gillnet fisheries around Unguja Island (Zanzibar) between February 2000 and …
"E Ólafsson, RW Johnstone, SGM Ndaro",Effects of intensive seaweed farming on the meiobenthos in a tropical lagoon,Marine,1995,Elsevier,NA,"Open water aquaculture of the seaweed Eucheuma spinosum, imported to Zanzibar from the Philippines in 1989, is presently a large scale operation on the island, with algal farms …"
"SGM Ndaro, E Olafsson","Soft-bottom fauna with emphasis on nematode assemblage structure in a tropical intertidal lagoon in Zanzibar, eastern Africa: I. Spatial variability",Marine,1999,Springer,NA,"Twenty stations were sampled in a reef-protected lagoon on the east coast of Zanzibar from a variety of habitats: seagrass beds, fine sand, bare medium sand and coarse sand. Total …"
"M Raes, M De Troch, SGM Ndaro, A Muthumbi…",The structuring role of microhabitat type in coral degradation zones: a case study with marine nematodes from Kenya and Zanzibar,Marine,2007,Springer,NA,Nematode genus assemblages were identified from four locations in coral degradation zones (CDZs) along the African east coast: Watamu and Tiwi Beach (Kenya) and Matemwe …
"T Kithakeni, SGM Ndaro","Some aspects of sea cucumber, Holothuria scabra (Jaeger, 1935), along the coast of Dar es Salaam",Marine,2002,aquadocs.org,NA,"Some aspects of the biology of the sea cucumber Holothuria scabra Jaeger, 1935 were studied along the coast of Dar es Salaam. Samples of Holothuria scabra were collected from …"
"E Ólafsson, SGM Ndaro",Impact of the mangrove crabs Uca annulipes and Dotilla fenestrata on meiobenthos,Marine,1997,int-res.com,NA,"To assess the effects of 2 mangrove crabs on benthic meiofauna a laboratory experiment was performed in Zanzibar, eastern Africa. The 2 ocypodidae crab species Uca annulipes …"
"H Gheerardyn, M De Troch, SGM Ndaro…","Community structure and microhabitat preferences of harpacticoid copepods in a tropical reef lagoon (Zanzibar Island, Tanzania)",Marine,2008,cambridge.org,NA,"Three microhabitat types (dead coral fragments, coral gravel and coral sand) were distinguished and sampled at two locations (Matemwe and Makunduchi) in a tropical lagoon …"
"M Callens, H Gheerardyn, SGM Ndaro…","Harpacticoid copepod colonization of coral fragments in a tropical reef lagoon (Zanzibar, Tanzania)",Marine,2012,cambridge.org,NA,"Colonization experiments were conducted in a tropical lagoon (Zanzibar Island, off the coast of Tanzania) to investigate the temporal dynamics and mode of colonization of the …"
"SGM Ndaro, E Olafsson, S Sjoling",Small-scale variation in major meiofaunal taxa and sediment chemistry in tropical sediments,Marine,1995,196.44.162.10,NA,"Variations in sediment biochemistry and abundance of meiofauna were investigated in three tropical habitats: mangrove forest, intertidal lagoon, and subtidal reef area in eastern Africa …"
"E Olafsson, SGM Ndaro",Impact of the mangrove crabs Uca annulipes and Dotilla fenestrata on meiobenthos,Marine,1998,infona.pl,NA,"To assess the effects of 2 mangrove crabs on benthic meiofauna a laboratory experiment was performed in Zanzibar, eastern Africa. The 2 ocypodidae crab species Uca annulipes …"
"AP Shoko, FM Urasa, SGM Ndaro",THE EFFECT OF DIFFERENT DIETARY PROPORTIONS OF COTTON SEED CAKE AND SOYBEAN MEAL ON THE GROWTH PERFORMANCE OF TILAPIA …,Freshwater,2011,academia.edu,PDF,"THE EFFECT OF DIFFERENT DIETARY PROPORTIONS OF COTTON SEED CAKE AND SOYBEAN MEAL ON THE GROWTH PERFORMANCE OF TILAPIA FRY, OREOC Page 1 Journal …"
"APA Shoko, FM Urasa, SGM Ndaro","The effects of different diets on the growth performance of Tilapia, Oreochromis variabilis (Boulenger, 1906) fry under aquaculture conditions",Freshwater,2005,repository.eac.int,NA,The effects of different diets on the growth performance of Oreochromis variabilis (L.) fry (Osteichthyes: Cichlidae) were investigated in a hatchery. The diet trial experiment was …
SGM Ndaro,"Nearshore fish resources and fisheries around Kigoma, eastern coast of Lake Tanganyika",Freshwater,1992,196.44.162.10,NA,The fish habitats along an inshore water stretch along the eastern/central coast of Lake Tanganyika are discussed and a quantitative analysis of the species composition …
"AJ Mmochi, MSP Mtolera, JP Shunula, SGM Ndaro","Anthropogenically induced changes in groundwater outflow and quality, and the fuctioning of Zanzibar nearshore ecosystems Part I",Marine,1998,aquadocs.org,NA,"The objectives of this study were three fold named:(1) To study nutrient and pesticide quantities in sites receiving groundwater,(2) To find out the effect of groundwater on …"
"SGM Ndaro, E Olafsson",A note on the selection of meiobenthic prey by Gerres oyena in a tropical lagoon in eastern Africa,Marine,1995,196.44.162.10,CITATION,A Note on the Selection of Meiobenthic Prey by Gerres Oyena in a Tropical Lagoon in Eastern Africa University of Dar es Salaam Research Repository A Note on the Selection of Meiobenthic …
SGM NDARO,Lake Tanganyika,Freshwater,1992,pubs.iclarm.net,PDF,The fish habitats along an inshore water stretch along the eastern] central coast of Lake Tanganyika are discussed and a quantitative analysis of the species composition …
"E Olafsson, RW Johnstone, SGM Ndaro",Effects of intensive seaweed farming on the meiobenthos in a tropical lagoon,Marine,1996,infona.pl,NA,"The culture of seaweed Eucheuma spinosum, is presently a large scale operation on Zanzibar. Two field studies conducted at different times showed that all major meiofaunal …"
"HGM De Troch, SGM Ndaro, MVA Vanreusel","COMMUNITY STRUCTURE AND MICROHABITAT PREFERENCES OF HARPACTICOID COPEPODS INA TROPICAL REEF LAGOON (ZANZIBAR, TANZANIA)",Marine,NA,NA,NA,"The community structure, habitat preferences and biodiversity of the harpacticoid copepod fauna associated with different coral substrates in a tropical lagoon (Zanzibar, Tanzania) …"
"…, KL Riser, E Glafsson, RW Johnstone, SGM Ndaro…",magellanicus 151,,1995,NA,CITATION,NA
"SGM Ndaro, S Sjoling, E Olafsson",Small-scale variation in major meiofaunal taxa and sediment chemistry in tropical sediments,,1996,infona.pl,NA,"Variations in sediment biochemistry and abundance of meiofauna were investigated in three tropical habitats: mangrove forest, intertidal lagoon, and subtidal reef area in eastern Africa …"
"SGM Ndaro, E Olafsson, RW Johnstone",Effects of Intensive Seaweed Farming on the Meiobenthos in a Tropical Lagoon,Marine,1995,196.44.162.10,NA,"Open water aquaculture of the seaweed Eucheuma spinosum, imported to Zanzibar from the Philippines in 1989, is presently a large scale operation on the island, with algal farms …"
"SGM Ndaro, E Olafsson",The Impact of the Mangrove Crabs Uca Annulipes and Dotilla Fenestrata on Meiobenthos,Marine,1997,196.44.162.10,NA,"To assess the effects of 2 mangrove crabs on benthic meiofauna a laboratory experiment was performed in Zanzibar, eastern Africa. The 2 ocypodidae crab species Uca annulipes …"
"SGM Ndaro, TM Kithakeni","Some Aspects of Sea Cucumber, Holothuria scabra (Jaeger, 1935), along the Coast of Dar es Salaam",Marine,2002,196.44.162.10,NA,"Some aspects of the biology of the sea cucumber Holothuria scabra Jaeger, 1935 were studied along the coast of Dar es Salaam. Samples of H. scabra were collected from …"
"SGM Ndaro, HA Lamtane, HB Pratap","Reproductive Biology of Gerres oyena (Pisces: Gerreidae) Along the Bagamoyo Coast, Tanzania",Marine,2008,196.44.162.10,NA,"The reproductive biology of Gerres oyena (Forskal, 1775)(Gerreidae) along the Bagamoyo coast was studied from January to December 1999 using samples from monthly commercial …"
"M De Troch, SGM Ndaro, A Muthumbi",The structuring role of microhabitat type in coral degradation zones: A case study with marine nematodes from Kenya...,Marine,2007,academia.edu,PDF,Nematode genus assemblages were identified from four locations in coral degradation zones (CDZs) along the African east coast: Watamu and Tiwi Beach (Kenya) and Matemwe …
"…, A Muthumbi, A Vanreusel, M De Troch, SGM Ndaro…",The structuring role of microhabitat type in coral degradation zones: a case study with marine nematodes from Kenya and Zanzibar,Marine,2007,196.44.162.10,NA,Nematode genus assemblages were identified from four locations in coral degradation zones (CDZs) along the African east coast: Watamu and Tiwi Beach (Kenya) and Matemwe …
"SGM Ndaro, M Callens, A Vanreusel, H Gheerardyn…","Harpacticoid copepod colonization of coral fragments in a tropical reef lagoon (Zanzibar, Tanzania)",Marine,2012,196.44.162.10,NA,"Colonization experiments were conducted in a tropical lagoon (Zanzibar Island, off the coast of Tanzania) to investigate thetemporal dynamics and mode of colonization of the …"
"HH Nkotagu, SGM Ndaro",The Malagarasi Wetland Ecosystem: An Integratesd study,Freshwater,2004,repository.costech.or.tz,CITATION,The Malagarasi Wetland Ecosystem: An Integratesd study COSTECH Integrated Repository The Malagarasi Wetland Ecosystem: An Integratesd study Login COSTECH Repository Home → …
"APA Shoko, FM Urasa, SGM Ndaro",Study on the effects of stocking densities on the growth performance of Oreochromis variabilis (Boul.) fry under aquaculture conditions,Freshwater,2001,NA,CITATION,NA
"T Kithakeni, SGM Ndaro",Some aspects of sea cucumber,Marine,2002,NA,CITATION,NA
"HH Nkotagu, SGM Ndaro",The Malagarasi wetland ecosystems,Freshwater,2004,NA,CITATION,NA
"AJ Mmochi, MS Mtolera, JP Shunula, SGM Ndaro",The quality and effects of groundwater outflow on the nearshore biota in Zanzibar,Marine,1998,NA,CITATION,NA
"SGM Ndaro, E O'lafsson","Spatial variability of meiobenthos and nematode assemblage structure in a tropical intertidal lagoon in Zanzibar, eastern Africa",Marine,1998,"PhD thesis, University of Stockholm …",CITATION,NA
SGM Ndaro,"Study of the inshore water cichlid fish potential of Lake Tanganyika around Kigoma, Tanzania",Freshwater,1990,NA,CITATION,NA
"JF Machiwa, ANN Muzuka, AM Dubi, SGM Ndaro…","2003Sedimentation studies at the Simiyu River Mouth (Magu Bay, Speke Gulf) Lake Victoria, Tanzania",Freshwater,NA,NA,CITATION,NA
SGM Ndaro,"6lafsson, E. 1999 Soft-boltom faur. a with emphasis on n~ matode assemblage struclUre in a tropical intertidal lagoon in Zanzibar, eastern Africa: I. spatial …",Marine,NA,NA,CITATION,NA
"OA Amir, P Berggren, SGM Ndaro, NS Jiddawi",Feeding ecology of the Indo-Pacific bottlenose dolphin,Marine,2005,NA,CITATION,NA
"JF Machiwa, ANN Muzuka, AM Dubi, SGM Ndaro…","Sedimentation studies at the Simiyu River mouth (Magu Bay, Speke Gulf), Lake Victoria, Tanzania",Freshwater,2003,NA,CITATION,NA
"E Ólafsson, SGM Ndaro",Impact of the mangrove crabs,Marine,1997,NA,CITATION,NA
SGM Ndaro,THE FISHES AND FISHERIES OF THE TWO LAKES SAGARA AND NYAMAGOMA,Freshwater,2004,Dar es Salaam University Press,CITATION,NA
SGM Ndaro,Some Aspects of Ecology and the Distribution of Infauna in Lakes Sagara and Nyamagoma in the Malagarasi Wetland Ecosystem,Freshwater,2004,196.44.162.10,CITATION,Some Aspects of Ecology and the Distribution of Infauna in Lakes Sagara and Nyamagoma in the Malagarasi Wetland Ecosystem University of Dar es Salaam Research Repository Some …
"SGM Ndaro, HH Nkotagu",The Malagarasi Wetland Ecosystem: An Integratesd study,Freshwater,2004,196.44.162.10,CITATION,The Malagarasi Wetland Ecosystem: An Integratesd study University of Dar es Salaam Research Repository The Malagarasi Wetland Ecosystem: An Integratesd study Login Home → College of …
"SGM Ndaro, D Chitamweba","The Fishes and Fisheries of two Lakes, Sagara and Nyamagoma in the Malagarasi Wetland Ecosystem, Tanzania",Freshwater,2004,196.44.162.10,CITATION,"The Fishes and Fisheries of two Lakes, Sagara and Nyamagoma in the Malagarasi Wetland Ecosystem, Tanzania University of Dar es Salaam Research Repository The Fishes and Fisheries …"
SGM Ndaro,"Study of the Inshore Cichlid Fish Potential of Lake Tanganyika around Kigoma, Tanzania",Freshwater,1990,196.44.162.10,CITATION,"Study of the Inshore Cichlid Fish Potential of Lake Tanganyika around Kigoma, Tanzania University of Dar es Salaam Research Repository Study of the Inshore Cichlid Fish Potential of …"
SGM Ndaro,LAKES SAGARA AND NYAMAGOMA,Freshwater,2004,Dar es Salaam University Press,CITATION,NA
SGM Ndaro,Growth Studies and Parameter Determination for Lates Stappersi (Centropomidae) Using Length Data,Freshwater,1986,"University of Wales (UCNW, Bangor …",CITATION,NA
"NP Gabagambi, AGV Salvanes, F Midtøy…","The tapeworm Ligula intestinalis alters the behavior of the fish intermediate host Engraulicypris sardella, but only after it has become infective to the final host",Freshwater,2019,Elsevier,NA,Ligula intestinalis is a tapeworm using copepods and cyprinid fish as intermediate hosts and fish-eating birds as final hosts. Since some parasites can increase their own fitness by …
"NP Gabagambi, A Skorping, M Chacha…",Life history shifts in an exploited African fish following invasion by a castrating parasite,Freshwater,2020,Wiley Online Library,NA,"Evolutionary theory predicts that infection by a parasite that reduces future host survival or fecundity should select for increased investment in current reproduction. In this study, we …"
"A Mennerat, A Skorping, N Gabagambi, C Mwita…",Life history shifts in an exploited African fish following invasion by a castrating parasite,Freshwater,2020,196.44.162.10,NA,"Evolutionary theory predicts that infection by a parasite that reduces future host survival or fecundity should select for increased investment in current reproduction. In this study, we …"
NP Gabagambi,"Biological and ecological effects of Ligula intestinalis (Linnaeus, 1758) in a fish host Engraulicypris sardella (Gütter, 1868) from Tanzanian side of Lake Nyasa",Freshwater,2020,bora.uib.no,NA,"The current thesis investigates the epidemiological, behavioral and evolutionary effects of the tapeworm Ligula intestinalis in the 'Nyasa sardine'(Engraulicypris sardella), an …"
N Gabagambi,"Increased reproductive investment in an exploited African cyprinid fish following invasion by a castrating parasite in Lake Nyasa, Tanzania",Freshwater,2020,authorea.com,NA,Evolutionary theory predicts that a host infected with a parasite that reduces its future survival and/or fecundity should be selected towards an increased investment in current …
"NP Gabagambi, A Skorping",Invasion of the tapeworm Ligula intestinalis in the Usipa fishery in Lake Malawi/Niassa/Nyasa: implications for food security and nutrition,Freshwater,2018,fao.org,PDF,"This article reports the invasion of a deleterious parasite infecting an economically important fish species, the Usipa, in Lake Malawi/Niassa/Nyasa, hereafter Lake Nyasa. Most of the …"
"M Malinsky, RJ Challis, AM Tyers, S Schiffels…",Genomic islands of speciation separate cichlid ecomorphs in an East African crater lake,Freshwater,2015,science.sciencemag.org,NA,The genomic causes and effects of divergent ecological selection during speciation are still poorly understood. Here we report the discovery and detailed characterization of early-stage …
"H Svardal, FX Quah, M Malinsky…",Ancestral hybridization facilitated species diversification in the Lake Malawi cichlid fish adaptive radiation,Freshwater,2020,academic.oup.com,NA,"The adaptive radiation of cichlid fishes in East African Lake Malawi encompasses over 500 species that are believed to have evolved within the last 800,000 years from a common …"
"FN Moser, JC van Rijssel, S Mwaiko…",The onset of ecological diversification 50 years after colonization of a crater lake by haplochromine cichlid fishes,Freshwater,2018,royalsocietypublishing.org,NA,"Adaptive radiation research typically relies on the study of evolution in retrospective, leaving the predictive value of the concept hard to evaluate. Several radiations, including the cichlid …"
"KP Lampert, H Fricke, K Hissmann, J Schauer…",Population divergence in East African coelacanths,Marine,2012,Elsevier,HTML,"The coelacanth, Latimeria chalumnae, occurs at the Eastern coast of Africa from South Africa up to Kenya. It is often referred to as a living fossil mainly because of its nearly unchanged …"
"FN Moser, JC van Rijssel, B Ngatunga, S Mwaiko…",The origin and future of an endangered crater lake endemic; phylogeography and ecology of Oreochromis hunteri and its invasive relatives,Freshwater,2019,Springer,NA,"Cichlids of the genus Oreochromis (“Tilapias”) are intensively used in aquaculture around the world. In many cases, when “Tilapia” were introduced for economic reasons to …"
"B Benno, E Verheij, J Stapley, C Rumisha…","Coelacanth (Latimeria chalumnae Smith, 1939) discoveries and conservation in Tanzania : coelacanth research",Marine,2006,journals.co.za,NA,"Prior to September 2003, coelacanths had not been officially recorded from waters off Tanzania. A sudden spate of coelacanth catches has resulted in 21 confirmed and several …"
"K Higasa, M Nikaido, TL Saito, J Yoshimura, Y Suzuki…",Extremely slow rate of evolution in the HOX cluster revealed by comparison between Tanzanian and Indonesian coelacanths,Marine,2012,Elsevier,NA,Coelacanths are known as “living fossils” because their morphology has changed very little from that in the fossil record. To elucidate why coelacanths have evolved so slowly is thus of …
"G Turner, BP Ngatunga, MJ Genner",The natural history of the satellite lakes of Lake Malawi,Freshwater,2019,ecoevorxiv.org,NA,"Large, long-lived lakes, such as Lake Baikal and the African Great Lakes are known for their diverse endemic faunas. Nearby smaller isolated lakes have long been hypothesised to …"
"H Sungani, BP Ngatunga, S Koblmüller…",Multiple colonisations of the Lake Malawi catchment by the genus Opsaridium (Teleostei: Cyprinidae),Freshwater,2017,Elsevier,NA,"It has been proposed that the fish faunas of African rivers assemble through multiple colonisation events, while lake faunas form additionally through intralacustine speciation …"
"H Sungani, BP Ngatunga, MJ Genner",Migratory behaviour shapes spatial genetic structure of cyprinid fishes within the Lake Malawi catchment,Freshwater,2016,Wiley Online Library,NA,"Genetic differences among freshwater fish populations are dependent on life‐history characteristics of the species, including the range of adult dispersal and the extent of homing …"
"T Takahashi, B Ngatunga, J Snoeks","Taxonomic status of the six-band morph of Cyphotilapia frontosa (Perciformes: Cichlidae) from Lake Tanganyika, Africa",Freshwater,2007,Springer,NA,"Six-and seven-band morphs have been identified in a cichlid, Cyphotilapia frontosa, that is endemic to Lake Tanganyika. These color morphs have allopatric distributions; the six-band …"
"GF Turner, BP Ngatunga, MJ Genner","A survey of fishes of Hombolo Lake, Dodoma, Tanzania, with evidence for local extinction of a native tilapia as a consequence of stocking",Freshwater,2019,biorxiv.org,NA,"The fish community of the Hombolo Lake, an impoundment on the Wami catchment near Dodoma, Tanzania, was surveyed in 2014 and 2017. The lake contains a relatively low …"
"KP Lampert, K Blassmann, K Hissmann…",Single-male paternity in coelacanths,Marine,2013,nature.com,HTML,"Latimeria chalumnae, a 'living fossil,'is of great scientific interest, as it is closely related to the aquatic ancestors of land-living tetrapods. Latimeria show internal fertilization and bear live …"
"G Turner, BP Ngatunga, MJ Genner","Astatotilapia species (Teleostei, Cichlidae) from Malawi, Mozambique and Tanzania, excluding the basin of Lake Victoria.",Freshwater,2021,ecoevorxiv.org,NA,The haplochromine cichlid fauna of the rivers and smaller lakes of Tanzania and SE Africa are of key importance in understanding the origins and inter-relationships of the great lake …
"FN Moser, JC van Rijssel, S Mwaiko…",Correction to 'The onset of ecological diversification 50 years after colonization of a crater lake by haplochromine cichlid fishes',Freshwater,2018,royalsocietypublishing.org,NA,"We could detect evidence for disruptive selection either on any of the morphological traits using the Lande & Arnold-approach (electronic supplementary material, table S14) or on …"
BP Ngatunga,The need to maintain maximum biodiversity in Lake Nyasa,Freshwater,2001,malawifisheries.org,PDF,"Lake Nyasa fish fauna comprises more than 1 000 species, mainly cichlids, and is thus unique among freshwater lakes. But tension exists between motives either to conserve or …"
"C Rumisha, B Benno, H Kalombo…","Coelacanth (Latimeria chalumnae Smith, 1939) discoveries and conservation in Tanzania: coelacanth research",Marine,2006,ingentaconnect.com,NA,"Prior to September 2003, coelacanths had not been officially recorded from waters off Tanzania. A sudden spate of coelacanth catches has resulted in 21 confirmed and several …"
"P Tortell, B Ngatunga",Terminal evaluation of the development of Mnazi Bay-Ruvuma Estuary Marine Park (MBREMP),Marine,2007,NA,CITATION,NA
BP Ngatunga,"A taxonomic revision of the shallow-water species of the genera Lethrinops, Tramitichromis and Taeniolethrinops (Teleostei, Cichlidae) from Lake Malawi …",Freshwater,2000,Rhodes University,CITATION,NA
"T Takahashi, B Ngatunga, J Snoeks","Lake Victoria rock cichlids. Taxonomy, ecology, and distribution Lake Victoria rock cichlids. Taxonomy, ecology, and distribution, 1996",Freshwater,1996,NA,CITATION,CiNii 論文 - <no title> CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ] 日本の論文をさがす 大学図書館の本をさがす 日本の博士論文をさがす 新規登録 ログイン English 検索 すべて 本文あり …
"T Takahashi, B Ngatunga, J Snoeks","Tanganyika cichlids in their natural habitat Tanganyika cichlids in their natural habitat, 1998",Freshwater,1998,NA,CITATION,CiNii 論文 - <no title> CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ] 日本の論文をさがす 大学図書館の本をさがす 日本の博士論文をさがす 新規登録 ログイン English 検索 すべて 本文あり …
"T Takahashi, B Ngatunga, J Snoeks","Tanganyika secrets Tanganyika secrets, 1992",Freshwater,1992,NA,CITATION,CiNii 論文 - <no title> CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ] 日本の論文をさがす 大学図書館の本をさがす 日本の博士論文をさがす 新規登録 ログイン English 検索 すべて 本文あり …
"T Takahashi, B Ngatunga, J Snoeks","Tanganyika cichlids Tanganyika cichlids, 1988",Freshwater,1988,NA,CITATION,CiNii 論文 - <no title> CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ] 日本の論文をさがす 大学図書館の本をさがす 日本の博士論文をさがす 新規登録 ログイン English 検索 すべて 本文あり …
"T Takahashi, B Ngatunga, J Snoeks","International code of zoological nomenclature International code of zoological nomenclature, 1999",,1999,NA,CITATION,CiNii 論文 - <no title> CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ] 日本の論文をさがす 大学図書館の本をさがす 日本の博士論文をさがす 新規登録 ログイン English 検索 すべて 本文あり …
BP Ngatunga,The Growth Promoting Effects of Single and Multiple Hormones Administered at Different Phases of the Photoperiod Cycle to Tilapia Mariae (Boulenger),Freshwater,1985,"University of Wales (UCNW, Bangor …",CITATION,NA
"N Philemon, T Rashid",Growth perfomance of Tilapia sparmanni fed on formulated chicken feeds,Freshwater,2019,peertechzpublications.com,HTML,Growth performance of 120 fish fingerlings of Tilapia sparmanni stocked in three rectangular tanks was evaluated after feeding on three different formulated chicken feeds for eight …
BP Pepnosy,An investigation of construction techniques used in the protection of archaeologically excavated sites: a case of Isimila stone age site,Freshwater,2013,University of Dar es Salaam,CITATION,NA
"LM Rasmusson, M Gullström, PCB Gunnarsson…",Estimation of a whole plant Q10 to assess seagrass productivity during temperature shifts,Marine,2019,nature.com,HTML,"Through respiration and photosynthesis, seagrass meadows contribute greatly to carbon and oxygen fluxes in shallow coastal waters. There is increasing concern about how shallow …"
"LM Rasmusson, P Buapet, R George…","Effects of temperature and hypoxia on respiration, photorespiration, and photosynthesis of seagrass leaves from contrasting temperature regimes",Marine,2020,academic.oup.com,NA,"In near-future climate change scenarios, elevated ocean temperatures with higher and more frequent peaks are anticipated than at present. Moreover, increased eutrophication and …"
